,Geo_Place,Geo_Country,English_Country
18525,"Another Level, 422, Blackpool Road, Lane Ends, Ashton-on-Ribble, Preston, Lancashire, North West England, England, PR2 2DX, United Kingdom", United Kingdom, United Kingdom
18526,"Wonogiri, Jawa Tengah, Indonesia", Indonesia, Indonesia
18527,"High Commission of Pakistan, 2/50-G, Shanti Path, Chanakyapuri, Chanakya Puri Tehsil, New Delhi, Delhi, 110021, India", India, India
18528,"Putrajaya, 62675, Malaysia", Malaysia, Malaysia
18532,"Tautenburg Exoplanet Search Telescope (TEST), Sternwarte, Tautenburg, Dornburg-Camburg, Saale-Holzland-Kreis, Thüringen, 07778, Deutschland", Deutschland, Germany
18533,"Murfreesboro, Rutherford County, Tennessee, United States of America", United States of America, United States of America
18535,"Canterbury, New Zealand", New Zealand, New Zealand
18536,"Torre de Moncorvo, Bragança, Douro, Norte, Portugal", Portugal, Portugal
18537,"Watertown, Codington County, South Dakota, 57201, United States of America", United States of America, United States of America
18539,"Cumbaya, Quito, Pichincha, Ecuador", Ecuador, Ecuador
18540,"Cassiopeia, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 31, Sverige", Sverige, Sweden
18542,"Beylikdüzü, İstanbul, Marmara Bölgesi, Türkiye", Türkiye,Turkey
18544,"Luque, Central, Región Oriental, Paraguay", Paraguay, Paraguay
18546,"Columbia, Richland County, Indian Land, United States of America", United States of America, United States of America
18547,"La Colonia, Avenida Calle 34, Armenia, Teusaquillo, Bogotá, Distrito Capital, 110099, Colombia", Colombia, Colombia
18548,"Fussels Corner, Polk County, Florida, 33829, United States of America", United States of America, United States of America
18549,"Lima, Peru", Peru, Peru
18551,"New Taipei Noodle Haus, 11642, Northeast Halsey Street, Parkrose Heights, Portland, Multnomah County, Oregon, 97220, United States of America", United States of America, United States of America
18552,"São Paulo, Região Sudeste, Brasil", Brasil, Brazil
18553,"Sweet Baby Outlet, Viale America, Quartiere XXXII Europa, Roma, Roma Capitale, 00144, Italia", Italia, Italy
18554,"Round Rock, Williamson County, Texas, 78665, United States of America", United States of America, United States of America
18555,"Thiruvananthapuram, Kerala, 695001, India", India, India
18556,"Tinu küla, Valga vald, Valga maakond, 68306, Eesti", Eesti,Estonia
18558,"Sedona, Coconino County, Arizona, United States of America", United States of America, United States of America
18559,"Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia", Indonesia, Indonesia
18562,"Binghamton, Broome County, New York, United States of America", United States of America, United States of America
18563,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย", ประเทศไทย, Thailand
18564,"嘉熙 Solaria, 16, 白石角 Pak Shek Kok, 新界 New Territories, 香港 Hong Kong, 大埔區 Tai Po District, China 中国", China 中国,China
18568,"Oviedo, Asturias / Asturies, España", España,Spain
18569,"U.S., State Highway 55, Sunny Waters, Langlade, Town of Wolf River, Langlade County, Wisconsin, 54462, United States of America", United States of America, United States of America
18570,"San Carlos, Casilda, Municipio de Casilda, Departamento Caseros, Santa Fe, S2170, Argentina", Argentina, Argentina
18571,"L B, Andrews, Andrews County, Texas, 79714, United States of America", United States of America, United States of America
18574,"Cebu City, Cebu, Central Visayas, 6000, Philippines", Philippines, Philippines
18576,"Calgary, Alberta, Canada", Canada, Canada
18577,"Berlin, Deutschland", Deutschland, Germany
18579,"Concord, Merrimack County, New Hampshire, United States of America", United States of America, United States of America
18580,"Getafe, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España", España,Spain
18581,"Uyo, Akwa Ibom, Nigeria", Nigeria, Nigeria
18582,"Estancia Texas, San Ignacio de Velasco, Velasco, Santa Cruz, Bolivia", Bolivia, Bolivia
18583,"Nike, Via San Nicola Varco, Corno d'Oro, Eboli, Salerno, Campania, 84091, Italia", Italia, Italy
18585,Singapore,Singapore,Singapore
18588,"Sausalito, Marin County, California, 94965, United States of America", United States of America, United States of America
18589,"Mayflower, Faulkner County, Arkansas, United States of America", United States of America, United States of America
18591,"Santa Rosa, Laguna, Calabarzon, 4026, Philippines", Philippines, Philippines
18592,"Carapeguá, Paraguarí, Región Oriental, Paraguay", Paraguay, Paraguay
18595,"Rosario, Barrio Cooperacion 2, Cooperación, Avellaneda, Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, 8.000, Argentina", Argentina, Argentina
18596,"Him, Konshisha, Benue, Nigeria", Nigeria, Nigeria
18598,"臺北市, Taiwan", Taiwan, Taiwan
18599,"The Valencia, 1716, 10 Street SW, 17th Ave Retail & Entertainment District, Lower Mount Royal, Calgary, Alberta, T2T 3E8, Canada", Canada, Canada
18600,"Glocal Gaz, Wovia, Limbé II, Communauté urbaine de Limbé, Fako, Sud-Ouest, Cameroon;Cameroun", Cameroon;Cameroun, Cameroon;Cameroun
18601,"Montgomery, Montgomery County, Alabama, 36130, United States of America", United States of America, United States of America
18602,"Digoo, Harag Jiid, Zeylac زيلع‎‎, عدل ‎‎ Awdal, جمهورية أرض الصومال Jamhuuriyadda Soomaaliland, Somalia / الصومال", Somalia / الصومال,Somalia
18603,"Conroe, Montgomery County, Texas, United States of America", United States of America, United States of America
18604,"Dedicated to the Poor and Homeless around the globe, Αραχώβης, Εξάρχεια, Κολωνάκι, Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, 106 81, Ελλάδα", Ελλάδα,Hellas
18605,"Atlanta, Fulton County, Georgia, United States of America", United States of America, United States of America
18606,"Mikkeli, Mikkelin seutukunta, Etelä-Savo, Manner-Suomi, Suomi", Suomi, Suomi
18607,"Cuyahoga Falls, Summit County, Ohio, United States of America", United States of America, United States of America
18608,"ภูเก็ต, จังหวัดภูเก็ต, 830000, ประเทศไทย", ประเทศไทย, Thailand
18609,"Idaho, Lima Town, Livingston County, New York, 14585, United States of America", United States of America, United States of America
18610,United States,United States,United States
18611,"Carretera Leona Vicario - Puerto Morelos, Benito Juárez, Quintana Roo, México", México, Mexico
18614,"Irondequoit, Irondequoit Town, Monroe County, New York, 14617, United States of America", United States of America, United States of America
18615,"Aéroport de Nancy-Essey, Rue Louis Blériot, La Solère, Saulxures-lès-Nancy, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54420, France", France, France
18619,"Amherst, Amherst Town, Erie County, New York, 14226, United States of America", United States of America, United States of America
18620,"Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06660, Türkiye", Türkiye,Turkey
18622,"Tardis, Mississaga Street West, Downtown Orillia, Orillia, Central Ontario, Ontario, L3V 5A9, Canada", Canada, Canada
18624,"Rajkot, Rajkot Taluka, Rajkot, Gujarat, 360001, India", India, India
18626,"Genesis, Cumberland County, Tennessee, United States of America", United States of America, United States of America
18627,"York University, 595-A, Canarctic Drive, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3J 2N7, Canada", Canada, Canada
18628,"El Torviscal, Mancera de Abajo, Tierra de Peñaranda, Salamanca, Castilla y León, España", España,Spain
18630,"Abeokuta, Abeokuta South, Ogun, Nigeria", Nigeria, Nigeria
18631,"Pinamar, Partido de Pinamar, Buenos Aires, 7167, Argentina", Argentina, Argentina
18632,"Katherine, Town of Katherine, Northern Territory, 0850, Australia", Australia, Australia
18633,"Najibabad Junction, NH534, Najibabad, Bijnor, Uttar Pradesh, 246763, India", India, India
18635,"東京都, 日本 (Japan)", 日本 (Japan), Japan
18636,"West Los Angeles, Los Angeles, Los Angeles County, California, 90025-9998, United States of America", United States of America, United States of America
18637,"Battle Ground, Clark County, Washington, 98604, United States of America", United States of America, United States of America
18639,"Cauquenes, Provincia de Cauquenes, Región del Maule, Chile", Chile, Chile
18640,"Serpong, Banten, Indonesia", Indonesia, Indonesia
18641,"Đăng kiểm 50- 02S, Đường Tống Văn Trân, Phường 5, Quận 11, Thành phố Hồ Chí Minh, 70000000, Việt Nam", Việt Nam,Vietnam
18643,Кыргызстан,Кыргызстан,Kyrgyzstan
18644,"Bowling Green, Warren County, Kentucky, 42101, United States of America", United States of America, United States of America
18645,"E, Rue Henri Bergson, Sainte-Croix, L'Éventail, Le Mans, Sarthe, Pays de la Loire, France métropolitaine, 72000, France", France, France
18646,"Strawberry Fields, Manhattan, New York County, New York, 10023, United States of America", United States of America, United States of America
18647,"Hannover, Region Hannover, Niedersachsen, Deutschland", Deutschland, Germany
18649,"East Midlands, England, United Kingdom", United Kingdom, United Kingdom
18651,"Sarthe, Pays de la Loire, France métropolitaine, France", France, France
18653,"Paulínia, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Intermediária de Campinas, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
18654,"County Wicklow, Leinster, Ireland", Ireland, Ireland
18655,"꽃길, 6, 남문길, 강진군, 전라남도, 59229, 대한민국", 대한민국,Republic of Korea
18657,"North Naples Avenue, Norwood Park, Chicago, Cook County, Illinois, 60631, United States of America", United States of America, United States of America
18658,"Rajapalaiyam, Rajapalayam, Virudhunagar district, Tamil Nadu, 626117, India", India, India
18659,"Cumbria, North West England, England, United Kingdom", United Kingdom, United Kingdom
18661,"高雄市, Taiwan", Taiwan, Taiwan
18664,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina", Argentina, Argentina
18665,"湖北省, China 中国", China 中国,China
18666,"Riacho Fundo, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Distrito Federal, Região Centro-Oeste, Brasil", Brasil, Brazil
18667,"مكة, منطقة مكة المكرمة, 24231, Saudi Arabia / السعودية", Saudi Arabia / السعودية, Saudi Arabia / Saudi
18668,"Xàbia / Jávea, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
18669,"Berlin, Deutschland", Deutschland, Germany
18670,"Santa Lucía, Municipio de Nicolich, Canelones, 90700, Uruguay", Uruguay, Uruguay
18673,"Space, Turner, North Canberra, District of Canberra Central, Australian Capital Territory, 2612, Australia", Australia, Australia
18674,"Stoke Newington, London, Greater London, England, N16 8EJ, United Kingdom", United Kingdom, United Kingdom
18677,"Upper Davenport and Congress Avenue Historic District, City Point, New Haven, New Haven County, Connecticut, United States of America", United States of America, United States of America
18678,"Thüringen, Deutschland", Deutschland, Germany
18679,"Little Essex Street, St Clement Danes, City of Westminster, London, Greater London, England, WC2, United Kingdom", United Kingdom, United Kingdom
18680,United States,United States,United States
18681,"Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, London, Greater London, England, N5 1BU, United Kingdom", United Kingdom, United Kingdom
18682,"CENTRO DE PSICOLOGIA UMB, Calle 40C, Mariscal Sucre, Chapinero, Bogotá, Distrito Capital, 111311, Colombia", Colombia, Colombia
18687,"กรุงเทพมหานคร, เขตพระนคร, 10200, ประเทศไทย", ประเทศไทย, Thailand
18689,"Maringá, Microrregião Maringá, Mesorregião Norte Central Paranaense, Paraná, Região Sul, Brasil", Brasil, Brazil
18690,"Chandpur, Bijnor, Uttar Pradesh, India", India, India
18691,"Dordogne, Nouvelle-Aquitaine, France métropolitaine, France", France, France
18692,"서울, 대한민국", 대한민국,Republic of Korea
18693,"Villena, l'Alt Vinalopó / El Alto Vinalopó, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
18695,"laboratorio, Campocecina, Carrara, Massa-Carrara, Toscana, 54033, Italia", Italia, Italy
18697,"Embassy of Japan, 101-104, Piccadilly, St. James's, Mayfair, City of Westminster, London, Greater London, England, W1J 7NN, United Kingdom", United Kingdom, United Kingdom
18698,"Bucaramanga, Santander, 680003, Colombia", Colombia, Colombia
18699,"Unter der Scheuer, Heubach, Verwaltungsverband Rosenstein, Ostalbkreis, Baden-Württemberg, 73540, Deutschland", Deutschland, Germany
18700,"London Borough of Brent, London, Greater London, England, NW9, United Kingdom", United Kingdom, United Kingdom
18701,"Mountain View, Santa Clara County, California, United States of America", United States of America, United States of America
18702,"岩手県, 日本 (Japan)", 日本 (Japan), Japan
18703,"East Kilbride, South Lanarkshire, Scotland, G74 1BU, United Kingdom", United Kingdom, United Kingdom
18704,"Pan Borneo Highway, Kampung Siru Dayak, Kuching Division, Sarawak, Malaysia", Malaysia, Malaysia
18707,"Madrid-Barcelona, 278-280, Carrer d'Aragó, la Dreta de l'Eixample, Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 8007, España", España,Spain
18709,"Fonseca, Niterói, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil", Brasil, Brazil
18710,"Zanzibar, 14a, Punane, Pae, Lasnamäe, Tallinn, Lasnamäe linnaosa, Tallinn, Harju maakond, 13611, Eesti", Eesti,Estonia
18711,"Frýdek-Místek, okres Frýdek-Místek, Moravskoslezský kraj, Moravskoslezsko, Česká republika", Česká republika,Czech Republic
18712,"Hebrews, Villa Susana Homes, Nalom, Davao City, Davao Region, 8024, Philippines", Philippines, Philippines
18713,"Beyonce Peluqueria, Avenida Mariana de Jesús, Quito, Pichincha, 170519, Ecuador", Ecuador, Ecuador
18714,"London Road, Bellgrove, Calton, Glasgow, Glasgow City, Scotland, G40 1PE, United Kingdom", United Kingdom, United Kingdom
18715,"Pulau Pinang, Malaysia", Malaysia, Malaysia
18716,"Northgate, Colerain Township, Hamilton County, Ohio, United States of America", United States of America, United States of America
18717,"Ilorin, Ilorin East, Kwara, 240212, Nigeria", Nigeria, Nigeria
18718,"Espumoso, Região Geográfica Imediata de Passo Fundo, Região Geográfica Intermediária de Passo Fundo, Rio Grande do Sul, Região Sul, 99400-000, Brasil", Brasil, Brazil
18720,"Florence, Rankin County, Mississippi, United States of America", United States of America, United States of America
18721,"亚尼, 峨山彝族自治县, 玉溪市, 云南省, China 中国", China 中国,China
18722,"Putrajaya, 62675, Malaysia", Malaysia, Malaysia
18723,"Venado Tuerto, Municipio de Venado Tuerto, Departamento General López, Santa Fe, S2600, Argentina", Argentina, Argentina
18724,"Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06660, Türkiye", Türkiye,Turkey
18727,"Cd. victoria, Reynosa, Tamaulipas, 88500, México", México, Mexico
18728,Бългaрия,Бългaрия,Bulgaria
18729,"Kromberg & Schubert KG, Крушевац, Град Крушевац, Расински управни округ, Централна Србија, Србија (Serbia)", Србија (Serbia),Serbia
18731,"Solar System Model: Earth, Park Lane, Otford, Sevenoaks, Kent, South East, England, TN14 5PE, United Kingdom", United Kingdom, United Kingdom
18732,"新潟県, 日本 (Japan)", 日本 (Japan), Japan
18733,"LeBlanc, St. Gabriel, Iberville Parish, Louisiana, 70721, United States of America", United States of America, United States of America
18734,"Opelousas, St. Landry Parish, Louisiana, 70570, United States of America", United States of America, United States of America
18735,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye", Türkiye,Turkey
18736,"Le Roc, Gourdon, Lot, Occitanie, France métropolitaine, 46200, France", France, France
18740,"Somewhere Over There, Garibaldi Highlands, Squamish, Squamish-Lillooet Regional District, British Columbia, V8B 0N8, Canada", Canada, Canada
18741,"Lucas do Rio Verde, Microrregião de Alto Teles Pires, Mesorregião Norte Mato-Grossense, Mato Grosso, Região Centro-Oeste, Brasil", Brasil, Brazil
18742,"Perth County, Southwestern Ontario, Ontario, Canada", Canada, Canada
18745,"Willimantic, Windham County, Connecticut, 06226, United States of America", United States of America, United States of America
18746,"อุดรธานี, จังหวัดอุดรธานี, 41000, ประเทศไทย", ประเทศไทย, Thailand
18747,"Madhepura, Bihar, India", India, India
18750,"17, Rose, Primera Agua, Bernalillo County, New Mexico, 87059, United States of America", United States of America, United States of America
18754,"home, Grandview Avenue, The Hill, Ara, Boulder, Boulder County, Colorado, 80802, United States of America", United States of America, United States of America
18755,"Paris, Île-de-France, France métropolitaine, France", France, France
18756,"SRQ Blinds And Drapes Sarasota FL, Sarasota, Sarasota County, Florida, 34232, United States of America", United States of America, United States of America
18757,"130613, Castillejos - Olongapo Road, Subic, Zambales, Central Luzon, 2209, Philippines", Philippines, Philippines
18758,"DLSL Sports Track, Jose P. Laurel Highway, Mataas na Lupa, Amiya Rosa Phase 1, Lipa, Batangas, Calabarzon, 4217, Philippines", Philippines, Philippines
18761,"Edinburgh, City of Edinburgh, Scotland, EH1 3EG, United Kingdom", United Kingdom, United Kingdom
18763,"東京都, 日本 (Japan)", 日本 (Japan), Japan
18764,"Sunderland, Tyne and Wear, North East England, England, United Kingdom", United Kingdom, United Kingdom
18765,"Asturias / Asturies, España", España,Spain
18766,"Roaming Rock Shores Lake Dam, Roaming Shores, Ashtabula County, Ohio, 44084, United States of America", United States of America, United States of America
18768,"DAY6, 七久保停車場線, 飯島町, 上伊那郡, 長野県, 399-3797, 日本 (Japan)", 日本 (Japan), Japan
18769,"Cambridge, Cambridgeshire, East of England, England, United Kingdom", United Kingdom, United Kingdom
18771,"The Dog, Station Road, Brampton with Stoven, East Suffolk, Suffolk, East of England, England, NR34 8EQ, United Kingdom", United Kingdom, United Kingdom
18773,"Brighton, Brighton and Hove, South East, England, United Kingdom", United Kingdom, United Kingdom
18777,"Fernsehzentrum des Rundfunk Berlin-Brandenburg, 8-14, Masurenallee, Westend, Charlottenburg-Wilmersdorf, 14057, Deutschland", Deutschland, Germany
18778,"Unnao, Uttar Pradesh, India", India, India
18780,"Alto Jequitibá, Microrregião Manhuaçu, Mesorregião Zona da Mata, Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
18781,Europa,Europa,Europa
18782,"Além Paraíba, Microrregião Cataguases, Mesorregião Zona da Mata, Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
18783,"Bassignana, Alessandria, Piemonte, 15042, Italia", Italia, Italy
18784,"East Paradox Creek, Montrose County, Colorado, United States of America", United States of America, United States of America
18787,"Sulawesi Selatan, Indonesia", Indonesia, Indonesia
18789,"Tottenham, London, Greater London, England, N17 9TR, United Kingdom", United Kingdom, United Kingdom
18790,"Sevilla-Cádiz, Avenida de Cádiz, San Bernardo, Nervión, Sevilla, Andalucía, 41004, España", España,Spain
18791,"El Corazón, Cangas del Narcea, Asturias / Asturies, España", España,Spain
18793,"Upper Echelon, 11, East Northampton Street, Mayflower, Wilkes-Barre, Luzerne County, Pennsylvania, 18701, United States of America", United States of America, United States of America
18794,"Natural Resources Canada Earth Sciences, 615, Booth Street, Little Italy, Centretown, Somerset, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1R 7L2, Canada", Canada, Canada
18796,"Olfu, Calle General Gabino Arana, Conil de la Frontera, La Janda, Cádiz, Andalucía, 11140, España", España,Spain
18797,"Mount Loretto Unique Area, Wetland Trail, Pleasant Plains, Staten Island, Richmond County, New York, 10309, United States of America", United States of America, United States of America
18798,"Pampa del Indio, Municipio de Pampa del Indio, Departamento Libertador General San Martín, Chaco, H3531, Argentina", Argentina, Argentina
18801,"Río Gallegos, Municipio de Río Gallegos, Güer Aike, Santa Cruz, Argentina", Argentina, Argentina
18803,"Normandie, France métropolitaine, France", France, France
18804,"Pantheon, Piazza della Rotonda, Rione VIII Sant'Eustachio, Municipio Roma I, Roma, Roma Capitale, 00186, Italia", Italia, Italy
18806,"Manila, Mississippi County, Arkansas, United States of America", United States of America, United States of America
18807,België / Belgique / Belgien,België / Belgique / Belgien,Belgium
18809,"Yaoundé, Communauté urbaine de Yaoundé, Mfoundi, Centre, 4124, Cameroon;Cameroun", Cameroon;Cameroun, Cameroon;Cameroun
18810,"757, городское поселение Щелкино, Автономна Республіка Крим, Україна", Україна, Ukraine
18811,"Lokitaung, Turkana, Kenya", Kenya, Kenya
18814,"Maracaibo, Municipio Maracaibo, Zulia, Zuliana, 4001, Venezuela", Venezuela, Venezuela
18818,"Prayagraj, Allahabad, Prayagraj, Uttar Pradesh, 211001, India", India, India
18819,"My Heart, 333, Market Street, Financial District, San Francisco, San Francisco City and County, California, 94111, United States of America", United States of America, United States of America
18821,"God's Country, Quarry, Dallas County, Iowa, 50003, United States of America", United States of America, United States of America
18822,"North Country Scenic Trail, Bliss Township, Emmet County, Michigan, United States of America", United States of America, United States of America
18824,"Pasadena, Los Angeles County, California, United States of America", United States of America, United States of America
18825,"Lincoln, Lancaster County, Nebraska, 68508, United States of America", United States of America, United States of America
18826,"Buenos Aires, Argentina", Argentina, Argentina
18828,"Eskişehir, İç Anadolu Bölgesi, Türkiye", Türkiye,Turkey
18831,"Philly Pretzel Factory, 131, 5th Avenue, Park Slope, Brooklyn, Kings County, New York, 11209, United States of America", United States of America, United States of America
18832,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica", Costa Rica, Costa Rica
18835,"Émerainville, Torcy, Seine-et-Marne, Île-de-France, France métropolitaine, 77184, France", France, France
18836,"Antwerpen, Vlaanderen, België - Belgique - Belgien", België - Belgique - Belgien,Belgium
18837,"京都市動物園, 白川通 ; 京都市道182号蹴上高野線, 南禅寺草川町, 岡崎東天王町, 左京区, 京都市, 京都府, 606-8437, 日本 (Japan)", 日本 (Japan), Japan
18838,Africa,Africa,Africa
18839,"Sorriso, Microrregião de Alto Teles Pires, Mesorregião Norte Mato-Grossense, Mato Grosso, Região Centro-Oeste, 78890000, Brasil", Brasil, Brazil
18840,"Pluto, Raleigh County, West Virginia, United States of America", United States of America, United States of America
18841,"Silver Springs Shores, Marion County, Florida, United States of America", United States of America, United States of America
18842,"Neuměřice, okres Kladno, Středočeský kraj, Střední Čechy, Česká republika", Česká republika,Czech Republic
18844,"Göd, Pálya utca, Oázis lakópark, Alsógöd, Göd, Dunakeszi járás, Pest megye, Közép-Magyarország, 2131, Magyarország", Magyarország, Hungary
18845,"Nijmegen, Gelderland, Nederland", Nederland,Netherlands
18846,"Cemitério - Nós que aqui estamos por vós esperamos, Paraibuna, Região Imediata de São José dos Campos, Região Metropolitana do Vale do Paraíba e Litoral Norte, Região Intermediária de São José dos Campos, São Paulo, Região Sudeste, Brasil", Brasil, Brazil
18849,"Bo's Coffee, Makati Avenue, Bel-Air, Makati, Makati 1st District, Makati, Metro Manila, 1209, Philippines", Philippines, Philippines
18850,"Barnstable County, Massachusetts, United States of America", United States of America, United States of America
18852,"Johnson City, Washington County, Tennessee, United States of America", United States of America, United States of America
18853,"Matteo Mardegan, Dottore Commercialista, Revisore Legale, 24, Piazza Giovanni XXIII, Villaraspa, Cornuda, Treviso, Veneto, 31041, Italia", Italia, Italy
18854,"Panorama City, Los Angeles, Los Angeles County, California, 91402, United States of America", United States of America, United States of America
18855,"Hatfield, Hertfordshire, East of England, England, AL10 0JY, United Kingdom", United Kingdom, United Kingdom
18857,"Follow stream bed, lift bikes over fallen trees., บ้านแม่ขนิลเหนือ, เชียงใหม่, ประเทศไทย", ประเทศไทย, Thailand
18859,"Sydney, Australia", Australia, Australia
18860,"Smoky Mountains, Cedar Grove, Gallatin, Sumner County, Tennessee, 37066, United States of America", United States of America, United States of America
18862,"千葉市, 千葉県, 日本 (Japan)", 日本 (Japan), Japan
18863,"Almost Home, Market Street Northeast, Oak Park, Salem, Marion County, Oregon, 97314, United States of America", United States of America, United States of America
18864,"Cinnaminson, Burlington County, New Jersey, 08077, United States of America", United States of America, United States of America
18865,"Lys, Oloron-Sainte-Marie, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64260, France", France, France
18867,"Universidad Torcuato Di Tella, Almirante Juan Pablo Sáenz Valiente, Barrio River, Comuna 13, Belgrano, Buenos Aires, Ciudad Autónoma de Buenos Aires, C1428CW, Argentina", Argentina, Argentina
18869,Việt Nam,Việt Nam,Vietnam
18870,"Garland, Dallas County, Texas, United States of America", United States of America, United States of America
18871,"Austin, Travis County, Texas, United States of America", United States of America, United States of America
18875,"Deventer, Overijssel, Nederland", Nederland,Netherlands
18876,"Kitchener, Waterloo Region, Southwestern Ontario, Ontario, Canada", Canada, Canada
18877,"Coon Rapids, Anoka County, Minnesota, United States of America", United States of America, United States of America
18880,"চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, Bangladesh", Bangladesh, Bangladesh
18881,"Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia", Australia, Australia
18883,"Uitgeest, Noord-Holland, Nederland", Nederland,Netherlands
18884,United Kingdom,United Kingdom,United Kingdom
18886,"ITSV, 1, Johann-Böhm-Platz, KG Leopoldstadt, Leopoldstadt, Wien, 1020, Österreich", Österreich, Austria
18887,"ڪراچي Karachi, Karāchi District, سنڌ, پاکستان", پاکستان, Pakistan
18888,"Indore, Madhya Pradesh, 452001, India", India, India
18890,"Le Casablanca, Rue d'Aubervilliers, Quartier de la Chapelle, Paris, Île-de-France, France métropolitaine, 75019, France", France, France
18892,"Brå, Indre Østfold, Viken, 1880, Norge", Norge, Norway
18893,"Manila, Rosalina Village III, Nalom, Davao City, Davao Region, 8024, Philippines", Philippines, Philippines
18895,"Sala del Regno dei Testimoni di Geova, Via delle Agavi, San Giovannello, Erice, Trapani, Sicilia, 91100, Italia", Italia, Italy
18896,"Classic City, 31, Московская улица, Ленинский округ, Ромоданово, Калуга, городской округ Калуга, Калужская область, Центральный федеральный округ, 248001, Россия", Россия, Russia
18897,"Albuquerque, Bernalillo County, New Mexico, United States of America", United States of America, United States of America
18898,"Hemlock, Richland Township, Saginaw County, Michigan, 48626, United States of America", United States of America, United States of America
18900,"Alacant / Alicante, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, España", España,Spain
18901,"L'Univers, Paron, Sens, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89100, France", France, France
18902,"Marlton, Lakeview Drive, Lakeview, Greentree, Cherry Hill Township, Camden County, New Jersey, 08003, United States of America", United States of America, United States of America
18905,"Terengganu, Malaysia", Malaysia, Malaysia
18907,"Prairie Du Chien Municipal Airport, Great River Road, Woodridge Acres, Bridgeport, Crawford County, Wisconsin, 53821, United States of America", United States of America, United States of America
18910,"Ilorin Street, Surulere, Itire, Surulere, Lagos, 101212, Nigeria", Nigeria, Nigeria
18911,"Loures, Lisboa, Grande Lisboa, Área Metropolitana de Lisboa, Portugal", Portugal, Portugal
18912,"Cebu, Central Visayas, Philippines", Philippines, Philippines
18915,"Los Angeles, Los Angeles County, California, United States of America", United States of America, United States of America
18916,"Glasgow City, Scotland, G52, United Kingdom", United Kingdom, United Kingdom
18918,"Belo Horizonte, Microrregião Belo Horizonte, Região Metropolitana de Belo Horizonte, Mesorregião Metropolitana de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil", Brasil, Brazil
18919,"Sivas, İç Anadolu Bölgesi, Türkiye", Türkiye,Turkey
18920,"Orange County, California, United States of America", United States of America, United States of America
18924,"Rúa Barcelona, Peniche, O Castro, Vigo, Pontevedra, Galicia / Galiza, 36203, España", España,Spain
18925,"McKinney, Collin County, Texas, United States of America", United States of America, United States of America
18927,"Conjunto, Residencial Ribeirão, Santa Maria, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Distrito Federal, Região Centro-Oeste, 72509-000, Brasil", Brasil, Brazil
18928,"Flintshire, Wales, United Kingdom", United Kingdom, United Kingdom
18929,"Kantor Imigrasi Kelas I Khusus Jaksel Wilayah Pondok Pinang, Jalan Pondok Pinang Raya, RW 06, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12310, Indonesia", Indonesia, Indonesia
18930,"British Columbia, Canada", Canada, Canada
18931,"Bayerischer Landtag, 1, Max-Planck-Straße, Bezirksteil Maximilianeum, Stadtbezirk 05 Au-Haidhausen, München, Bayern, 81675, Deutschland", Deutschland, Germany
18936,"Lima, Peru", Peru, Peru
18939,"Pellegrini, Alta Gracia, Municipio de Alta Gracia, Pedanía Alta Gracia, Departamento Santa María, Córdoba, X5186, Argentina", Argentina, Argentina
18940,Europa,Europa,Europa
